,Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate,Virality_Score,Like_View_Ratio,Engagement_Level_Calculated
18,Post_19,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,234917,0.06787244947783312,0.08234074531211266,4.7768749960273365,Medium
19,Post_20,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,420567,0.13377102303739394,0.16071817074924014,9.500364511700635,High
20,Post_21,Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low,375773,26.660021284143312,33.08038311457964,1903.5828307910606,High
21,Post_22,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,112157,0.02857935697784582,0.0471380891783368,0.9014357841670815,Low
22,Post_23,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,256759,0.42809862513046754,0.46566494266097114,37.296212189420544,High
23,Post_24,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,541521,0.12426331235280876,0.13882048743750072,10.321670015794481,High
24,Post_25,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,576680,0.7883613217916259,0.922849463835558,64.88779098062591,High
25,Post_26,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,265401,0.0540441971534658,0.06488109710528642,4.017399152156853,Medium
26,Post_27,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,251714,0.057610213171109065,0.06247694117539355,4.858442848445732,Medium
27,Post_28,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,407040,0.21715320386868164,0.23618345135099234,17.210554422474587,High
28,Post_29,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,172029,0.1040137081468305,0.15079384753798128,5.552670131996539,High
29,Post_30,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,319797,0.06828483456039357,0.06900163987632599,6.6476913616098114,Medium
30,Post_31,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,259397,0.18994328728705273,0.2521332254485943,11.43509890858233,High
31,Post_32,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,225962,0.09647446092233994,0.13471978208475383,3.9255484705586,Medium
32,Post_33,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,59276,0.011908937891340886,0.012813017459986442,0.17541152697431892,Low
33,Post_34,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,110549,0.036779748365024754,0.0627204351195045,0.5552112101561598,Low
34,Post_35,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,462864,0.4943068593214366,0.5927722423349245,39.368852721622396,High
35,Post_36,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,185097,0.09973994986517914,0.10320099838559842,8.522272922239297,Medium
36,Post_37,Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low,257758,5.270262533736812,6.032019301545759,420.96180583953543,High
37,Post_38,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,55050,0.04024652366539457,0.04581523884721674,0.7891389217879546,Low
38,Post_39,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,600613,0.13349171518027547,0.1534023536795997,10.434643261892585,High
39,Post_40,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,370706,0.082187759742484,0.10039935909217584,6.088735182553863,Medium
40,Post_41,Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,439991,0.1004542221887368,0.11001126708470177,8.114173124977883,High
41,Post_42,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,433656,0.45967595757874485,0.4794566432936363,42.71763153292099,High
42,Post_43,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,166680,0.04207732958908716,0.06557277727036577,1.2535348440579024,Low
43,Post_44,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,230942,0.056601877595516985,0.06101205064959001,4.205987482696553,Medium
44,Post_45,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,Low,450024,0.11438936367828106,0.12528322566902772,9.683737902698986,High
45,Post_46,Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,347870,1.2773981279858406,1.483301325245018,100.71384769046037,High
46,Post_47,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,413872,0.25863169018089194,0.2978871254695398,20.332488250177942,High
47,Post_48,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,134307,0.06069393548701972,0.07160155400913841,3.3722920188697234,Medium
48,Post_49,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,High,436290,0.09260782436246552,0.11087807092822421,6.661229927170756,Medium
49,Post_50,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,485005,0.17650743070426103,0.18434828305531575,15.374657724686184,High
50,Post_51,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,Medium,321675,0.1545454894865347,0.18713852906613063,10.812827359704356,High
51,Post_52,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,Medium,193619,0.0857292514392334,0.09702217495375237,7.062626688403865,Medium
52,Post_53,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,Low,596374,0.4392046249585742,0.5059601576020916,34.79021983282395,High
53,Post_54,Twitter,#Fitness,Reel,Canada,392337,332566,43169,45161,Medium,420896,1.0727920129888335,1.1828224205211335,84.76539301671777,High
54,Post_55,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,High,583937,0.1457652741169578,0.16087607391795675,12.280676353947282,High
55,Post_56,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,504551,0.12822164015114648,0.14903261532237302,9.903275509397607,High
56,Post_57,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,117094,0.04145187406763905,0.060396811405194956,1.2080778301469335,Low
57,Post_58,Twitter,#Dance,Video,Australia,197986,184395,9408,7599,Medium,201402,1.017253745214308,1.0647722566242057,93.13537320820664,High
58,Post_59,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,High,564612,0.24639503275378347,0.2830061300698977,20.710009334533716,High
59,Post_60,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,Low,71469,0.020271598404004117,0.021440486411712367,1.1619955110842974,Low
60,Post_61,TikTok,#Music,Reel,USA,866896,122451,79602,25491,Low,227544,0.26248131263727137,0.35430547608940405,14.125223786936381,High
61,Post_62,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,Medium,405223,0.09872567781734107,0.11343477397561477,8.07728524668446,Medium
62,Post_63,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,Low,197933,0.07608590777188488,0.097582070859958,3.5847055535758834,Medium
63,Post_64,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,284948,0.24951008292251517,0.3128481738658354,18.615623057187637,High
64,Post_65,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,Low,392918,0.13231384389298054,0.14130094009579097,12.058967042936215,High
65,Post_66,TikTok,#Education,Post,Japan,855465,14117,73654,46422,High,134193,0.15686556434219986,0.24296376824300234,1.6502136265072211,High
66,Post_67,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,High,432176,0.09704277057451298,0.1052390961722113,8.444088067275347,Medium
67,Post_68,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,High,223219,0.21064437348069634,0.3047789177273482,7.157807522157297,High
68,Post_69,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,409814,0.7046599160558276,0.8207649202083301,58.772097245936486,High
69,Post_70,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,502722,0.11894728100118611,0.13166937462778844,9.964658090628326,High
70,Post_71,Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,Medium,186694,0.3847663092985775,0.5750782129122408,10.423648122271823,High
71,Post_72,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,203349,0.14323368089477995,0.21234330327301312,4.840385405095861,High
72,Post_73,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,Medium,267775,0.061157389463913886,0.08154653568597339,3.1261697899511174,Medium
73,Post_74,TikTok,#Music,Post,India,3647159,216783,79133,7687,High,303603,0.08324369735457104,0.1049408594470381,5.9438867348530735,Medium
74,Post_75,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,Low,146744,0.0838486833647124,0.08438693678379297,7.170141220098222,Medium
75,Post_76,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,230259,0.12818023468452194,0.1662687343190625,8.078407053339264,High
76,Post_77,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,61642,0.040153966313192076,0.055192975759229934,1.0036863063392873,Low
77,Post_78,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,Medium,202060,0.32984325670835823,0.37773794715586506,21.57432165512558,High
78,Post_79,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,180475,0.04277031741156575,0.04396544532793381,4.076090047662924,Low
79,Post_80,Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,High,382154,0.09566875300721933,0.12055813990748404,6.043853706821838,Medium
80,Post_81,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,291777,0.06799976601389048,0.08344284924233014,4.92153891079466,Medium
81,Post_82,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low,380603,1.336518337476999,1.4164805528633433,119.01907490905003,High
82,Post_83,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,258005,0.05563956439809725,0.05689703731530934,4.7339509924137575,Medium
83,Post_84,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,184620,0.055690207759888394,0.07963862599449494,1.8803514196297273,Medium
84,Post_85,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,123419,0.02832473509318987,0.029302866669099373,2.4368144673509,Low
85,Post_86,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,162519,0.17910679688688166,0.26417753855580756,5.7811118972521065,High
86,Post_87,Twitter,#Gaming,Post,India,1908555,194688,34182,3500,High,232370,0.12175179651621253,0.1396616812195614,10.200806369216501,High
87,Post_88,Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,Medium,84545,0.027500846542706577,0.039768153014586555,0.5930840794998746,Low
88,Post_89,YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,High,215209,0.05291428220180103,0.0561015459323232,4.688471586194179,Medium
89,Post_90,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,279920,0.23860404020945195,0.31986170648941276,11.707043473294707,High
90,Post_91,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,130096,0.0607390502940402,0.0918457768954808,1.095577538279384,Medium
91,Post_92,Twitter,#Comedy,Post,India,4567233,66980,96596,49121,Low,212697,0.046570210015560845,0.06771999589248019,1.466533456909249,Low
92,Post_93,Twitter,#Gaming,Post,UK,506074,69145,31191,43362,Low,143698,0.2839466165027249,0.3455798954303126,13.663021613439932,High
93,Post_94,YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,High,275857,0.08593461845187658,0.10942749090365349,6.104832278323282,Medium
94,Post_95,TikTok,#Tech,Video,Germany,128472,444670,64311,7956,Medium,516937,4.023732797808083,4.5243165826016565,346.1221122112211,High
95,Post_96,TikTok,#Music,Reel,India,1347102,274212,15298,28342,High,317852,0.2359524371576911,0.24730866704971116,20.35569689600342,High
96,Post_97,TikTok,#Tech,Live Stream,UK,92085,176687,5641,22316,Medium,204644,2.2223380572297335,2.283596676983222,191.87381223869252,High
97,Post_98,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,Medium,131913,0.03432074006852024,0.03715745084734474,2.350257679386898,Low
98,Post_99,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,329841,0.34177829034694784,0.382404232633179,27.28394639576488,High
99,Post_100,YouTube,#Education,Post,Canada,3096420,364521,73308,29082,Low,466911,0.1507905904237797,0.17446567326137927,11.772337086054216,High
100,Post_101,YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,High,95137,0.034926554269661764,0.06500016887451743,0.049524287826790546,Low
101,Post_102,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,Medium,135249,0.06011927040225312,0.09704677736102678,2.065362242952103,Medium
102,Post_103,Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,Medium,413110,0.12475806249469618,0.14142921381975418,10.646548821320035,High
103,Post_104,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,337068,0.09391704701898608,0.11203520092103728,6.718450865241738,Medium
104,Post_105,Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,Medium,75581,5.572998082878631,8.053531927444329,84.67040259548739,High
105,Post_106,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,382534,0.09741743237602792,0.10995094927078392,7.714240093145708,Medium
106,Post_107,YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,High,163228,0.05934879506616873,0.08680890239197882,2.173058596518147,Medium
107,Post_108,TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,Medium,477058,0.10246625844089371,0.11224554889784841,8.226889848417777,High
108,Post_109,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,521509,0.10766055079962643,0.11692188210929287,9.347148603265227,High
109,Post_110,Twitter,#Dance,Video,USA,3868789,188191,4660,26605,Medium,219456,0.05672472703990836,0.05792923832237943,4.864338685826495,Medium
110,Post_111,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,High,504551,0.2004283051636553,0.22094222369113087,16.616786448046447,High
111,Post_112,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,438478,0.21989417469349928,0.2640231569962704,15.55966000699083,High
112,Post_113,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,High,312872,0.22300245616886125,0.26347222162825606,17.194892651308127,High
113,Post_114,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,Low,90304,0.12846432889963724,0.21724020200583255,2.4697346895227255,High
114,Post_115,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,390402,0.24406928431300226,0.25451282044870005,22.803106365899495,High
115,Post_116,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,High,559998,0.12171287135599056,0.14308724931405858,9.641802087209323,High
116,Post_117,Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,Low,248302,0.09950348840471104,0.10623745196180187,8.57109653323502,Medium
117,Post_118,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,High,393382,0.21396166462612376,0.25594608397971674,15.725596566448907,High
118,Post_119,YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,Low,475980,0.16297057161933132,0.18245322102956535,14.257203019875714,High
119,Post_120,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,Low,405008,0.22847949056285516,0.24568732324921883,20.379121787317438,High
120,Post_121,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,217914,0.0877159297432089,0.11992923602683235,4.089859780261359,Medium
121,Post_122,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,Medium,103547,0.02101549915133891,0.028875990349841583,0.4534243063923268,Low
122,Post_123,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,Low,357683,0.09114839955221253,0.0989655681195296,7.2124567075490615,Medium
123,Post_124,Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,72702,0.015648097527797746,0.022441380438479056,0.4597874327925167,Low
124,Post_125,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,76190,0.019526384581870372,0.027384351213511366,0.5168251364719753,Low
125,Post_126,Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low,426866,0.4436644677421199,0.5154816829619898,33.194960800800715,High
126,Post_127,TikTok,#Education,Video,Germany,3859007,277223,81798,46985,Medium,406006,0.1052099672273204,0.12640661185636615,7.1837910633486795,High
127,Post_128,Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,Medium,266769,0.06952137001159432,0.09191569007065786,3.652719688170325,Medium
128,Post_129,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,571364,0.5549982127037906,0.6397111962451237,43.62828901356791,High
129,Post_130,Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,Low,263338,0.29946415818705335,0.307994186707666,26.41568224307568,High
130,Post_131,TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,Low,185002,0.0383138207640853,0.04737856565789193,2.7303376115256666,Low
131,Post_132,YouTube,#Education,Video,India,3487375,107303,83451,45313,High,236067,0.06769188859815764,0.0916213484354278,3.0768988135775475,Medium
132,Post_133,TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,High,401597,0.1174643538651794,0.14158889274979788,9.104900897485846,High
133,Post_134,YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,High,423668,0.3168655983019448,0.3712468933682059,23.79595814395625,High
134,Post_135,TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,High,225903,0.3191437060017716,0.3842119911109981,18.921339679391274,High
135,Post_136,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low,403133,0.21773789333823038,0.22490737039957656,18.687252222570297,High
136,Post_137,Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low,351117,0.24412827273182372,0.3031792847965024,15.53369099070536,High
137,Post_138,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium,139250,0.03457557948547069,0.04553945228805915,1.9987292077859486,Low
138,Post_139,Instagram,#Music,Video,India,3488909,443844,19877,22056,Low,485777,0.1392346432652729,0.14493183972410859,12.721569980759028,High
139,Post_140,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,221437,0.20332426454182095,0.24499877419810978,13.811435859342216,High
140,Post_141,TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,High,570152,0.8359436167062045,0.941503945481683,70.38205634224084,High
141,Post_142,YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,Low,118391,0.024414054243326405,0.027887341196053777,1.7908368986267496,Low
142,Post_143,Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,197493,0.04610482156801636,0.06591402254897498,2.518953255057411,Low
143,Post_144,Twitter,#Comedy,Shorts,India,50082,70708,277,25036,Low,96021,1.9172756679046363,1.9228065971806239,141.18445748971686,High
144,Post_145,Twitter,#Viral,Post,USA,3940355,82304,68754,15897,Low,166955,0.04237054783135022,0.05981922948566817,2.0887458109738843,Low
145,Post_146,Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,305906,0.31716602833805774,0.3959935634910596,20.20522593100245,High
146,Post_147,TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,Low,389180,0.6111264650829743,0.6385374923055663,57.0876725751542,High
147,Post_148,TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,Low,173994,0.04163407411838602,0.05894415697065773,2.2570514162653663,Low
148,Post_149,Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low,143900,0.11129518514909224,0.11416921508664628,7.371005090652597,High
149,Post_150,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,85606,0.020861820353812146,0.022237482993081235,1.8498702441856016,Low
150,Post_151,Twitter,#Education,Reel,Germany,3529777,68367,38326,879,High,107572,0.03047557961876912,0.04133348933941153,1.9368645667984123,Low
151,Post_152,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,78576,0.017107139513669208,0.024366613907170865,0.744801520518509,Low
152,Post_153,TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,Medium,604641,0.18594732136843767,0.2154991313718236,15.333001812294512,High
153,Post_154,Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,Low,348738,8.48903385993525,8.648255884715562,776.855480635817,High
154,Post_155,Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,Medium,241254,0.11338733222478002,0.12036952612635816,9.115767369241311,High
155,Post_156,YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,Medium,273157,0.05732430074644547,0.06779287895764155,3.715228818096177,Medium
156,Post_157,Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Low,514099,0.2431552445911924,0.24996795603994357,21.87701457184303,High
157,Post_158,YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,High,434114,0.09885830425104326,0.102144138092012,8.93319138518995,Medium
158,Post_159,TikTok,#Gaming,Post,India,1246500,471547,15048,40514,High,527109,0.42287123947051747,0.43494344163658244,37.82968311271561,High
159,Post_160,Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,Medium,36855,0.008089373585511955,0.013172147269400174,0.023858768382720108,Low
160,Post_161,Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,Medium,165807,0.4140785767086888,0.5636625177312049,14.127275088406288,High
161,Post_162,Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High,403117,0.12590143311077423,0.14182537198853412,10.475706826624391,High
162,Post_163,TikTok,#Gaming,Video,Germany,102418,107650,94514,26548,Medium,228712,2.23312308383292,3.155949149563553,105.10847702552286,High
163,Post_164,Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,Low,520662,0.12239613024162012,0.13165420322813676,10.53816619020294,High
164,Post_165,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,Low,80412,0.05181445974733266,0.056585318076552815,3.0614296337058176,Medium
165,Post_166,YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,Medium,569415,0.15873774756122072,0.18561930762169224,11.996929032380365,High
166,Post_167,Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,High,103654,0.04601541423594942,0.0518668929540312,2.728677572912639,Low
167,Post_168,YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,Medium,491978,0.19313780527541033,0.22401532609165034,15.027421298713534,High
168,Post_169,YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,Low,317661,0.10781703270240577,0.1361583709992577,7.579140867332791,High
169,Post_170,Twitter,#Education,Video,India,4459268,356292,52389,33857,Low,442538,0.09924005464574007,0.11098839540480634,7.989921215769045,Medium
170,Post_171,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High,556604,0.3413456378781774,0.38534248079101346,26.683887142106332,High
171,Post_172,Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium,461787,0.09804873698715648,0.10981895081925444,8.271168231145046,Medium
172,Post_173,Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High,371071,0.1630803902808621,0.19481477216842674,11.945967872717915,High
173,Post_174,TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,High,412313,0.14808391276864727,0.15634338007125617,13.430747902539938,High
174,Post_175,Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,Medium,141837,0.038603568564969624,0.0651549700424093,0.5435749990338017,Low
175,Post_176,YouTube,#Music,Post,UK,2126429,36274,51278,44234,Medium,131786,0.06197526463380625,0.08608987179915248,1.705864620920802,Medium
176,Post_177,YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,High,342873,0.21446827195892693,0.2508275411706424,17.530361941362795,High
177,Post_178,Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,Medium,216310,0.062441346673167426,0.08067060580316845,3.3283769377789056,Medium
178,Post_179,Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,Low,558255,0.367444661651166,0.3761401707376472,32.642681778988866,High
179,Post_180,Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,High,450258,0.09210342483645156,0.09454440349440629,8.477292025365886,Medium
180,Post_181,Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,Low,416221,0.11212668976255771,0.12931445073624886,8.148198035592097,High
181,Post_182,Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low,49160,0.012280571591160886,0.015657229162310635,0.5558482475079758,Low
182,Post_183,Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High,315871,0.46332243983149296,0.6083311820134008,28.988840516786162,High
183,Post_184,Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Low,247371,0.052805734939635585,0.070494527967266,2.612866812337071,Medium
184,Post_185,Instagram,#Tech,Video,UK,3916842,292224,72417,38211,High,402852,0.10285122555364755,0.12133984470142017,7.460704312300573,High
185,Post_186,TikTok,#Dance,Reel,UK,798887,326922,87308,21689,Medium,435919,0.5456578965485732,0.6549449421507673,40.922182987080774,High
186,Post_187,Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,High,334756,0.48650950402353227,0.6014254218641227,35.40403181620662,High
187,Post_188,Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,Medium,225230,0.14815326426574577,0.14820588718960698,14.091958559447459,High
188,Post_189,TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,High,215693,0.43429403284392293,0.5649186955856415,21.467345344426278,High
189,Post_190,TikTok,#Education,Reel,India,479620,337321,99486,26524,Medium,463331,0.9660376965097369,1.1734644093240483,70.33088695217047,High
